0.001990	0.0009	1.00
0.002486	0.0115	1.00
0.002315	0.0194	0.99
0.002388	0.0173	0.99
0.002073	-0.0058	1.00
0.002135	-0.0134	1.00
0.001835	-0.0235	0.99
0.002044	-0.0232	0.99
0.003152	0.0719	0.97
0.003977	0.1161	0.94
0.001565	-0.0141	1.00
0.001526	-0.0110	1.00
0.002396	0.0146	0.99
0.002145	0.0049	1.00
0.001524	0.0059	1.00
0.001139	-0.0005	1.00
0.002191	0.0111	1.00
0.001265	0.0019	1.00
0.001291	-0.0066	1.00
0.000861	-0.0046	1.00
0.001523	-0.0039	1.00
0.000617	-0.0032	0.99
0.000822	-0.0095	0.99
0.001231	-0.0159	0.99
0.003020	0.0268	0.99
0.001976	0.0199	0.99
0.001634	-0.0134	1.00
0.000734	-0.0064	0.99
0.004235	0.1171	0.95
0.000852	-0.0004	0.99
0.002036	-0.0051	1.00
0.001538	0.0018	1.00
0.001573	-0.0074	1.00
0.003353	0.1346	0.91
0.002856	0.0597	0.97
0.003224	0.0413	0.98
0.002824	0.0319	0.99
0.002825	0.0374	0.99
0.000862	-0.0073	0.99
0.002731	0.0088	1.00
0.000646	-0.0013	0.99
0.002382	0.0179	0.99
0.000574	-0.0012	1.00
0.000571	-0.0042	0.99
0.000846	-0.0087	0.99
0.000824	-0.0093	0.98
0.001518	-0.0021	1.00
0.000900	-0.0085	0.99
0.001459	-0.0064	1.00
0.001024	0.0026	1.00
0.001122	-0.0045	1.00
0.000626	-0.0073	0.99
0.002312	0.0167	0.99
0.003139	0.0208	0.99
0.001550	-0.0074	1.00
0.000725	-0.0022	0.99
0.000892	-0.0102	0.99
0.001269	0.0016	1.00
0.001363	0.0042	1.00
0.000994	-0.0046	1.00
0.001809	0.0028	1.00
0.000941	-0.0007	1.00
0.001414	-0.0040	1.00
0.001851	0.0010	1.00
0.002596	0.0162	0.99
0.001555	-0.0076	1.00
0.002186	-0.0156	1.00
0.001217	-0.0157	0.99
0.001545	-0.0195	0.99
0.000878	-0.0056	0.99
0.002751	0.0049	1.00
0.000580	-0.0056	0.99
0.001381	-0.0034	1.00
0.001030	0.0021	0.99
0.001564	-0.0042	1.00
0.001225	-0.0075	1.00
0.002621	0.0313	0.99
0.001966	-0.0100	1.00
0.002717	0.0177	1.00
0.001273	-0.0022	1.00
0.001660	0.0015	1.00
0.002421	0.0162	0.99
0.001212	-0.0017	1.00
0.001886	-0.0009	1.00
0.001928	-0.0002	1.00
0.001372	-0.0003	0.99
0.002560	0.0116	0.99
0.002311	0.0048	1.00
0.003747	0.1726	0.89
0.002258	-0.0046	1.00
0.003349	0.0346	0.99
0.002838	0.0278	0.99
0.001939	0.0001	1.00
0.001285	0.0033	1.00
0.001781	-0.0013	1.00
0.000669	-0.0014	1.00
0.002392	0.0165	0.99
0.000914	-0.0116	0.99
0.001711	-0.0042	1.00
0.003005	0.0436	0.98
0.002264	0.0094	1.00
0.001396	-0.0000	1.00
0.001909	0.0052	1.00
0.003533	0.1580	0.91
0.003610	0.1161	0.94
0.001582	-0.0125	1.00
0.000396	-0.0046	0.98
0.000761	-0.0050	0.99
0.000676	-0.0041	0.99
0.001329	-0.0035	1.00
0.000447	-0.0043	0.98
0.000926	-0.0029	1.00
0.000653	-0.0040	0.99
0.001260	-0.0060	1.00
0.000439	-0.0013	0.99
0.001506	0.0021	1.00
0.000539	-0.0060	0.99
0.004422	0.1136	0.95
0.000939	-0.0034	1.00
0.001231	-0.0040	1.00
0.000759	-0.0048	0.99
0.000936	-0.0028	0.99
0.001689	-0.0013	1.00
0.000618	-0.0100	0.98
0.001635	0.0071	1.00
0.002384	-0.0057	1.00
0.002056	0.0089	1.00
0.001450	-0.0111	1.00
0.000412	-0.0028	0.99
0.000734	-0.0088	0.98
0.000463	-0.0070	0.98
0.003614	0.0382	0.99
0.000688	-0.0046	0.99
0.001299	-0.0105	0.99
0.001196	-0.0012	1.00
0.001299	-0.0050	1.00
0.002082	0.0129	0.99
0.002702	0.0373	0.98
0.001804	0.0069	1.00
0.000760	-0.0090	0.98
0.001334	-0.0180	0.99
0.004264	0.0899	0.97
0.001496	-0.0164	0.99
0.001395	-0.0093	1.00
0.000440	-0.0008	0.99
0.000775	-0.0056	0.99
0.000746	-0.0010	1.00
0.000384	-0.0029	0.99
0.003782	0.1788	0.90
0.002673	0.0317	0.99
0.003957	0.0822	0.97
0.002188	0.0162	0.99
0.002820	0.0278	0.99
0.002805	0.0163	0.99
0.003086	0.0432	0.98
0.002878	0.0354	0.99
0.002622	0.0377	0.98
0.002444	0.0821	0.94
0.003576	0.1631	0.90
0.002204	-0.0152	1.00
0.003267	0.0409	0.98
0.002889	0.0216	0.99
0.002661	-0.0044	1.00
0.003460	0.0889	0.96
0.001376	-0.0162	0.99
0.002473	0.0522	0.97
0.002109	-0.0081	1.00
0.002553	0.0101	1.00
0.001898	0.0012	1.00
0.002311	0.0159	0.99
0.002107	0.0046	1.00
0.000831	-0.0004	1.00
0.001739	0.0042	1.00
0.000774	-0.0029	0.99
0.001526	-0.0052	1.00
0.000843	-0.0075	0.99
0.002108	-0.0041	1.00
0.003471	0.0644	0.97
0.002978	0.0218	0.99
0.001905	-0.0007	1.00
0.000546	-0.0075	0.98
0.001014	-0.0120	0.99
0.001438	0.0248	0.98
0.002345	0.0126	0.99
0.003527	0.0354	0.99
0.001916	0.0222	0.99
0.003661	0.1291	0.93
0.002272	0.0453	0.98
0.001876	-0.0043	1.00
0.002773	0.0286	0.99
0.002430	0.0102	1.00
0.002538	-0.0035	1.00
0.001505	-0.0197	0.99
0.001474	-0.0010	1.00
0.000499	-0.0063	0.98
0.002544	0.0126	1.00
0.001766	-0.0013	1.00
0.001139	-0.0061	1.00
0.001500	0.0001	1.00
0.002571	0.0114	1.00
0.002086	0.0047	1.00
0.000462	-0.0035	0.99
0.001926	-0.0169	1.00
0.000910	-0.0031	0.99
0.001414	-0.0044	1.00
0.001437	-0.0028	1.00
0.001355	-0.0052	1.00
0.002748	0.0203	0.99
0.001260	-0.0014	1.00
